pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
10303031_LEE SHAWVER 28_1539478,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303031_LEE SHAWVER 28_1539478.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
10303034_LEE SHAWVER 31_1539439,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303034_LEE SHAWVER 31_1539439.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
10303034_LEE SHAWVER 31_50895823,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303034_LEE SHAWVER 31_50895823.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,90,skipped,,,
10303038_LEE SHAWVER 35_1539446,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303038_LEE SHAWVER 35_1539446.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
10303040_LEE SHAWVER 37_1539517,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303040_LEE SHAWVER 37_1539517.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
10303042_LEE SHAWVER 39_1539425,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303042_LEE SHAWVER 39_1539425.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
10303042_LEE SHAWVER 39_50900786,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303042_LEE SHAWVER 39_50900786.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,api_error,,done,,99,skipped,,,
10303148_CARMICHAEL 10-B_50981263,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303148_CARMICHAEL 10-B_50981263.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
10303159_J CARMICHAEL 13-B_1539464,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303159_J CARMICHAEL 13-B_1539464.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
10303160_CARMICHAEL 14_1539479,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303160_CARMICHAEL 14_1539479.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,88,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
10303160_CARMICHAEL 14_50981272,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1923/05 - May/10303160_CARMICHAEL 14_50981272.pdf,1,1923,05 - May,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
