pdf_stem,pdf_path,collection,year,month,model_tier,decade,failure_domain,failure_stage,failure_error_type,failure_detail,grid_status,grid_error_type,grid_confidence,location_status,location_error_type,location_section,location_township,location_range,county_status,county_error_type,county_name,dot_status,dot_error_type,dot_confidence,latlong_status,latlong_error_type,resolution_source,flags
OSAGE_TRACT 20 11_2288019,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_TRACT 20 11_2288019.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
OSAGE_TRACT 20 12_2288002,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_TRACT 20 12_2288002.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
OSAGE_TRACT 20 13_2288026,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_TRACT 20 13_2288026.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
OSAGE_TRACT 20 9_2287973,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/OSAGE_TRACT 20 9_2287973.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_A.F. CALDWELL_1413746,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_A.F. CALDWELL_1413746.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_DAVIS_2002922,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_DAVIS_2002922.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
X_F H HARRIS 2_781982,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_F H HARRIS 2_781982.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_GEO WASHINGTON_2363870,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_GEO WASHINGTON_2363870.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
X_GILCHRIST 10_2288008,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_GILCHRIST 10_2288008.pdf,1,1922,09 - September,early,1920s,county,county,keyword_not_found,County extraction failed: keyword_not_found,done,,91,done,,22,7,,failed,keyword_not_found,,done,,99,skipped,,,
X_H O LACEY 1_1051967,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_H O LACEY 1_1051967.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_HELTON 1_2002835,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_HELTON 1_2002835.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_HIVICK_919968,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_HIVICK_919968.pdf,1,1922,09 - September,early,1920s,county,county,exception,County extraction failed: exception,done,not_detected,100,done,,,4,15,failed,exception,,skipped,,,skipped,,,
X_HOLEMAN 1_2002825,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_HOLEMAN 1_2002825.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,93,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_J J PAGE_2002613,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_J J PAGE_2002613.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_J J PAGE_2002622,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_J J PAGE_2002622.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_J.M. WATSON 3_2002644,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_J.M. WATSON 3_2002644.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,90,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_JOHNSON 2_919948,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_JOHNSON 2_919948.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,95,failed,not_found,,,,failed,api_error,,done,,91,skipped,,,
X_JOS T SKINNER 1_1051992,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_JOS T SKINNER 1_1051992.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,72,skipped,,,
X_KIT FARWELL 2_781979,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_KIT FARWELL 2_781979.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_KNIGHT 3_2287943,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_KNIGHT 3_2287943.pdf,1,1922,09 - September,early,1920s,grid,grid,not_detected,Grid image extraction failed: not_detected,failed,not_detected,,failed,not_found,,,,failed,exception,,skipped,,,skipped,,,
X_LEO WADSWORTH 2_2002615,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_LEO WADSWORTH 2_2002615.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,90,failed,not_found,,,,failed,exception,,done,,90,skipped,,,
X_LEO WADSWORTH 3_2002741,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_LEO WADSWORTH 3_2002741.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
X_LOT 10 BLOCK 3_1051971,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_LOT 10 BLOCK 3_1051971.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
X_MARGARET I DENOYA_1413823,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_MARGARET I DENOYA_1413823.pdf,1,1922,09 - September,early,1920s,grid,grid,not_detected,Grid image extraction failed: not_detected,failed,not_detected,,done,,,2,8,failed,exception,,skipped,,,skipped,,,
X_MCKINNEY 1_2002610,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_MCKINNEY 1_2002610.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_No Data_1051906,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_No Data_1051906.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_No Data_1413768,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_No Data_1413768.pdf,1,1922,09 - September,early,1920s,county,county,exception,County extraction failed: exception,done,,100,done,,19,,6W,failed,exception,,done,,99,skipped,,,
X_No Data_2002742,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_No Data_2002742.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
X_No Data_2002776,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_No Data_2002776.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_No Data_2002898,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_No Data_2002898.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
X_OS TR 27 14_1413848,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OS TR 27 14_1413848.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_OSAGE TRACT 28 10_1413873,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE TRACT 28 10_1413873.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_OSAGE_2002912,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2002912.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,94,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_OSAGE_2287917,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287917.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,keyword_not_found,,done,,89,skipped,,,
X_OSAGE_2287918,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287918.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
X_OSAGE_2287920,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287920.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,97,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
X_OSAGE_2287923,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287923.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_OSAGE_2287925,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287925.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_OSAGE_2287946,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287946.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_OSAGE_2287947,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287947.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_OSAGE_2287949,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287949.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_OSAGE_2287950,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287950.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,100,skipped,,,
X_OSAGE_2287972,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2287972.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,98,failed,not_found,,,,failed,exception,,done,,100,skipped,,,
X_OSAGE_2288024,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2288024.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,98,skipped,,,
X_OSAGE_2288030,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSAGE_2288030.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,94,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
X_OSCAR M ROSS_2002631,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_OSCAR M ROSS_2002631.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,91,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_S HARRISON 3_2002896,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_S HARRISON 3_2002896.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,api_error,,done,,99,skipped,,,
X_SILVIE BROOKS 1_2002882,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_SILVIE BROOKS 1_2002882.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_SMITH 3_2002729,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_SMITH 3_2002729.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,94,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
X_STEIFEL 6_919963,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_STEIFEL 6_919963.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
X_STEIFEL 6_919964,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_STEIFEL 6_919964.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,100,skipped,,,
X_THOMPSON 1_2002656,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_THOMPSON 1_2002656.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
X_THOMPSON 1_2002662,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_THOMPSON 1_2002662.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,99,skipped,,,
X_UNKNOWN 1_1051778,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_UNKNOWN 1_1051778.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,88,failed,not_found,,,,failed,exception,,done,,98,skipped,,,
X_W. MILLER 3_2288011,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_W. MILLER 3_2288011.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_X_2002646,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_X_2002646.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
X_X_2002906,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_X_2002906.pdf,1,1922,09 - September,early,1920s,dot,dot,exception,Well dot not detected: exception,done,,100,done,,,27,5,failed,exception,,failed,exception,,skipped,,,
X_X_2288028,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_X_2288028.pdf,1,1922,09 - September,early,1920s,dot,dot,exception,Well dot not detected: exception,done,,100,done,,,27,5,failed,exception,,failed,exception,,skipped,,,
X_X_2363902,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/X_X_2363902.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
x_BENNETT 1_920028,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_BENNETT 1_920028.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
x_J.F. BENNETT 2_920026,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_J.F. BENNETT 2_920026.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
x_J.F. BENNETT 3_919983,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_J.F. BENNETT 3_919983.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
x_L A BELL 1_1051771,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_L A BELL 1_1051771.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
x_No Data_2002871,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_No Data_2002871.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
x_ROBELLA BROWN 1_1051783,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_ROBELLA BROWN 1_1051783.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,100,skipped,,,
x_ROBELLA BROWN 1_1051786,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_ROBELLA BROWN 1_1051786.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,done,,100,skipped,,,
x_SILVIE BROOKS 1_588796,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_SILVIE BROOKS 1_588796.pdf,1,1922,09 - September,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
x_UNKNOWN 1_2363912,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/09 - September/x_UNKNOWN 1_2363912.pdf,1,1922,09 - September,early,1920s,grid,grid,not_detected,Grid image extraction failed: not_detected,failed,not_detected,,failed,not_found,,,,failed,keyword_not_found,,skipped,,,skipped,,,
00000000_No Data_1052013,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052013.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
00000000_No Data_1052058,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052058.pdf,1,1922,10 - October,early,1920s,latlong,latlong,exception,Embedded lat/long parse failed,failed,exception,,failed,exception,,,,failed,exception,,failed,exception,,failed,exception,,
00000000_No Data_1052066,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052066.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
00000000_No Data_1052129,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052129.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,99,failed,not_found,,,,failed,keyword_not_found,,done,,98,skipped,,,
00000000_No Data_1052132,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052132.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,100,skipped,,,
00000000_No Data_1052139,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052139.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
00000000_No Data_1052175,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052175.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
00000000_No Data_1052182,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052182.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
00000000_No Data_1052185,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052185.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,keyword_not_found,,failed,exception,,skipped,,,
00000000_No Data_1052192,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052192.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,done,,99,skipped,,,
00000000_No Data_1052250,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052250.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
00000000_No Data_1052282,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052282.pdf,1,1922,10 - October,early,1920s,grid,grid,not_detected,Grid image extraction failed: not_detected,failed,not_detected,,failed,not_found,,,,failed,exception,,skipped,,,skipped,,,
00000000_No Data_1052290,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052290.pdf,1,1922,10 - October,early,1920s,grid,grid,not_detected,Grid image extraction failed: not_detected,failed,not_detected,,failed,not_found,,,,failed,exception,,skipped,,,skipped,,,
00000000_No Data_1052303,s3://osu-well-records-225989338968/pdfs/ExportedFolderContents_1/1922/10 - October/00000000_No Data_1052303.pdf,1,1922,10 - October,early,1920s,location,location,not_found,"PLSS not found: missing section, township, range",done,,100,failed,not_found,,,,failed,exception,,failed,exception,,skipped,,,
