pdf_stem,pdf_path,page,grid_w,grid_h,method,correct,note,grid_png
x_MILLIE HAWKINS FARM (5 WELLS)_512246,D:\ExportedFolderContents (1)\1911\11 - November\x_MILLIE HAWKINS FARM (5 WELLS)_512246.pdf,,307,305,canny,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_MILLIE HAWKINS FARM (5 WELLS)_512246_grid.png
3514308526_PERRYMAN 18_1380832,D:\ExportedFolderContents (1)\1911\12 - December\3514308526_PERRYMAN 18_1380832.pdf,,304,309,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\3514308526_PERRYMAN 18_1380832_grid.png
X_ALWELL 2_2455874,D:\ExportedFolderContents (1)\1911\06 - June\X_ALWELL 2_2455874.pdf,,298,301,canny,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_ALWELL 2_2455874_grid.png
X_LEVI T ROGERS 13_2455830,D:\ExportedFolderContents (1)\1911\03 - March\X_LEVI T ROGERS 13_2455830.pdf,,310,314,otsu,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_LEVI T ROGERS 13_2455830_grid.png
11702089_JOHN MCNEAL 2_1030609,D:\ExportedFolderContents (1)\1911\07 - July\11702089_JOHN MCNEAL 2_1030609.pdf,,305,301,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702089_JOHN MCNEAL 2_1030609_grid.png
35117059740000_JONES & WELLS 3_2270977,D:\ExportedFolderContents (1)\1911\09 - September\35117059740000_JONES & WELLS 3_2270977.pdf,,295,294,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35117059740000_JONES & WELLS 3_2270977_grid.png
35147763470000_ABE KETCHUM 2_1380746,D:\ExportedFolderContents (1)\1911\04 - April\35147763470000_ABE KETCHUM 2_1380746.pdf,,318,327,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763470000_ABE KETCHUM 2_1380746_grid.png
03713356_CO-CO-TAH-LA-NEY 6_1030541,D:\ExportedFolderContents (1)\1911\01 - January\03713356_CO-CO-TAH-LA-NEY 6_1030541.pdf,,378,346,adaptive,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03713356_CO-CO-TAH-LA-NEY 6_1030541_grid.png
14305459_SAM KEYS 3_1401196,D:\ExportedFolderContents (1)\1911\03 - March\14305459_SAM KEYS 3_1401196.pdf,,298,324,canny,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14305459_SAM KEYS 3_1401196_grid.png
x_A HOGNER 4_512250,D:\ExportedFolderContents (1)\1911\11 - November\x_A HOGNER 4_512250.pdf,,298,301,canny,yes,,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_A HOGNER 4_512250_grid.png
