pdf_stem,pdf_path,status,method,grid_w,grid_h,page_w,page_h,grid_png
35147763640000_R M WOLFE 8_1380784,D:\ExportedFolderContents (1)\1911\08 - August\35147763640000_R M WOLFE 8_1380784.pdf,detected,adaptive,308,298,1248,1884,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35147763640000_R M WOLFE 8_1380784_grid.png
X_ELIZA MCLAIN 1_1401377,D:\ExportedFolderContents (1)\1911\12 - December\X_ELIZA MCLAIN 1_1401377.pdf,detected,adaptive,315,317,1174,1848,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_ELIZA MCLAIN 1_1401377_grid.png
11702098_JOHN R SKINNER 3_1030639,D:\ExportedFolderContents (1)\1911\10 - October\11702098_JOHN R SKINNER 3_1030639.pdf,detected,adaptive,308,304,1380,1812,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702098_JOHN R SKINNER 3_1030639_grid.png
14701521_JOHN A BELL JR 8_512204,D:\ExportedFolderContents (1)\1911\07 - July\14701521_JOHN A BELL JR 8_512204.pdf,detected,adaptive,299,302,1228,1858,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14701521_JOHN A BELL JR 8_512204_grid.png
35111018520000_JOSEPH GIBSON 2_1380806,D:\ExportedFolderContents (1)\1911\10 - October\35111018520000_JOSEPH GIBSON 2_1380806.pdf,detected,adaptive,301,300,1276,1950,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35111018520000_JOSEPH GIBSON 2_1380806_grid.png
14703264_H LASLEY 3_512175,D:\ExportedFolderContents (1)\1911\04 - April\14703264_H LASLEY 3_512175.pdf,detected,adaptive,313,316,1216,1914,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14703264_H LASLEY 3_512175_grid.png
03735274_R E KING 1_1030631,D:\ExportedFolderContents (1)\1911\09 - September\03735274_R E KING 1_1030631.pdf,detected,adaptive,302,305,1178,1892,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\03735274_R E KING 1_1030631_grid.png
11702108_GEO BRENTNALL 2_1030670,D:\ExportedFolderContents (1)\1911\12 - December\11702108_GEO BRENTNALL 2_1030670.pdf,detected,adaptive,288,283,1232,1996,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\11702108_GEO BRENTNALL 2_1030670_grid.png
14700927_SCOTT YEARGIAN 1_512188,D:\ExportedFolderContents (1)\1911\05 - May\14700927_SCOTT YEARGIAN 1_512188.pdf,detected,adaptive,305,293,1196,1832,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14700927_SCOTT YEARGIAN 1_512188_grid.png
X_A BRUMMET 3_1030533,D:\ExportedFolderContents (1)\1911\01 - January\X_A BRUMMET 3_1030533.pdf,detected,adaptive,298,300,1274,1802,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_A BRUMMET 3_1030533_grid.png
X_WM OWEN NORTH 4_2356017,D:\ExportedFolderContents (1)\1911\03 - March\X_WM OWEN NORTH 4_2356017.pdf,detected,otsu,288,303,1176,1948,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\X_WM OWEN NORTH 4_2356017_grid.png
35105027670000_COLIER 9_2455934,D:\ExportedFolderContents (1)\1911\12 - December\35105027670000_COLIER 9_2455934.pdf,detected,adaptive,300,299,1224,2016,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\35105027670000_COLIER 9_2455934_grid.png
07900223_MARY FOLSOM 1_1017353,D:\ExportedFolderContents (1)\1911\05 - May\07900223_MARY FOLSOM 1_1017353.pdf,detected,canny,304,306,1276,1612,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\07900223_MARY FOLSOM 1_1017353_grid.png
14302236_SARAH SANGO 1_512198,D:\ExportedFolderContents (1)\1911\06 - June\14302236_SARAH SANGO 1_512198.pdf,detected,adaptive,306,311,1248,1994,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14302236_SARAH SANGO 1_512198_grid.png
14701740_ELLA WILLIAMS 4_1401235,D:\ExportedFolderContents (1)\1911\04 - April\14701740_ELLA WILLIAMS 4_1401235.pdf,detected,adaptive,302,305,1238,1884,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\14701740_ELLA WILLIAMS 4_1401235_grid.png
x_FEE 2-5_512158,D:\ExportedFolderContents (1)\1911\01 - January\x_FEE 2-5_512158.pdf,detected,adaptive,322,320,1246,1788,C:\Users\akshay\Downloads\project_modular\outputs_1911\grids\x_FEE 2-5_512158_grid.png
